Agua_(g),Proteina_(g),Lipidos_Tot_(g),Carbohitrado_(g),Fibra_TD_(g),Azucar_Tot_(g),Calcio_(mg),Hierro_(mg),Magnesio_(mg),Fosforo_(mg),Potasio_(mg),Energ_Kcal,Tasa_obesidad
2.3,9.8,23.8,62.3,2.9,6.5,41,2.4,55,139,291,483,7
0.7,4.2,29.7,63.4,5.9,8.41,32,3.13,115,132,365,477,10
63.52,3.99,10.3,21.3,0.9,5.9,130,0.19,13,173,91,180,10
1.6,9.53,31.34,55.53,3.3,40.33,70,1.3,49,144,295,542,6
5.05,6.67,18.33,68.45,1.7,48.33,33,0.6,89,153,429,465,7
50.72,7.66,13.9,26.7,0.9,40.99,54,1.4,12,108,131,264,7
7,5.88,20.78,64.69,2.6,44.29,871,0.89,67,139,91,463,2
0.34,7.5,34.02,55.16,10,0.55,20,1.85,94,251,240,557,8
0.9,8.38,30.22,57.26,10,0.3,23,2.06,110,275,393,535,6
51.4,6.31,16.02,22.02,1.8,17.07,22,0.91,45,107,235,257,7
15.8,0.9,80.7,0.6,0,0,28,0.09,2,23,37,718,7
46,1,50,1,0,0,28,0.09,2,23,37,450,8
5,2,1,89,0,5.3,23,2,0,8,2,373,4
42.41,21.4,28.74,2.34,0,0.5,528,0.31,23,387,256,353,4
41.11,23.24,29.68,2.79,0,0.51,674,0.43,24,451,136,371,4
48.42,20.75,27.68,0.45,0,0.45,184,0.5,20,188,152,334,10
51.8,19.8,24.26,0.46,0,0.46,388,0.33,20,347,187,300,9
39.28,25.18,29.2,3.06,0,11.26,673,0.64,22,490,93,376,7
37.02,22.87,33.31,3.09,0,0.48,710,0.14,27,455,76,404,4
37.65,23.37,30.6,4.78,0,1.43,643,0.21,21,464,95,387,5
38.2,23.76,32.11,2.57,0,0.52,685,0.76,26,457,127,394,7
79.79,11.12,4.3,3.38,0,2.67,83,0.07,8,159,104,98,4
79.64,10.69,3.85,4.61,0.2,2.38,53,0.16,7,113,90,97,4
81.01,10.34,0.29,6.66,0,1.85,86,0.15,11,190,137,72,3
81.24,10.45,2.27,4.76,0,4,111,0.13,9,150,125,81,3
82.48,12.39,1.02,2.72,0,2.72,61,0.14,5,134,86,72,3
52.62,6.15,34.44,5.52,0,3.76,97,0.11,9,107,132,350,7
41.56,24.99,27.8,1.43,0,1.43,731,0.44,30,536,188,357,3
55.22,14.21,21.28,4.09,0,4.09,493,0.65,19,337,62,264,3
37.92,25.6,31.14,1.55,0,1.55,550,0.23,14,346,64,389,1
13.44,9.65,29.51,42.65,0,45.9,400,0.52,70,444,1409,466,8
41.46,24.94,27.44,2.22,0,2.22,700,0.24,29,546,121,356,8
33.19,29.81,32.34,0.36,0,0.36,1011,0.17,36,605,81,413,7
48.42,20.05,27.25,0.49,0,0.49,497,0.13,21,393,128,327,3
41.01,24.48,30.28,0.68,0,0.5,746,0.72,27,444,81,373,4
50.01,22.17,22.35,2.19,0,1.03,505,0.44,20,354,76,300,10
48.38,21.6,24.64,2.47,0,1.01,575,0.2,21,412,75,318,5
53.78,24.26,15.92,2.77,0,1.13,782,0.22,23,463,84,254,2
47.07,23.75,19.78,5.58,0,1.9,697,0.22,27,548,188,295,7
41.77,23.41,30.04,1.12,0,1.12,717,0.41,27,468,134,368,5
63.11,9.15,22.78,3.59,0,3.19,117,0.13,10,138,152,253,8
22.65,28.42,27.84,13.91,0,0.07,853,0.49,34,627,180,420,4
29.16,35.75,25.83,3.22,0,0.8,1184,0.82,44,694,92,392,8
45.45,23.78,28.2,0.57,0,0.57,650,0.43,24,360,136,352,5
40.95,25.58,26.62,2.14,0,0.56,756,0.52,28,496,138,351,1
71.7,11.26,12.98,3.04,0,0.27,207,0.38,11,158,105,174,0
74.41,11.39,7.91,5.14,0,0.31,272,0.44,15,183,125,138,0
30.91,31.8,26.94,3.63,0,0.73,1064,0.77,41,760,86,387,3
39.38,21.54,30.64,2,0,0.55,662,0.56,30,392,91,369,10
37.63,26.96,30.99,1.44,0,0,890,0.13,33,574,72,393,2
42.86,24.41,25.98,1.88,0,17.07,700,0.23,13,500,65,340,8
39.61,18.13,30.71,4.78,0,2.26,1045,0.63,26,641,132,366,9
39.08,22.13,31.2,1.73,0.1,0.62,614,0.42,22,744,162,375,8
42.31,24.73,25.01,2.1,0,1.23,772,0.61,29,762,216,334,1
43.12,19.66,24.46,8.32,0,0.5,497,0.84,30,400,363,331,2
44,16.86,25.63,8.56,0,5.59,682,0.26,27,438,255,330,1
43.67,21.92,24.14,4.5,0,0.45,723,0.6,28,526,284,323,4
47.65,16.41,21.23,8.73,0,7.32,562,0.33,29,875,242,290,1
65.47,21.05,0,10.53,0,5.26,789,0,115,316,393,126,1
25,37.86,27.34,3.41,0,0.9,1253,0.87,51,735,97,415,2
29.01,30.52,35.59,2.17,0,2.17,895,1.88,54,729,48,452,2
45.52,21.58,29.84,0.12,0,0.12,298,1.62,29,375,158,364,1
60.75,18.52,21.08,0,0,0,140,1.9,16,256,26,264,7
47.36,11.47,12.22,23.67,0,23.67,610,0.4,41,583,455,248,5
